Index,Part Name,Collection ID,Unit ID,Part Type,X Part,Rarity,Attr,W Tag 1,W Tag 2,Armor,Melee ATK,Shot ATK,Melee DEF,Shot DEF,Beam RES,Phys. RES,EX ID,Trait,Wep Type,Wep Cat,Notes
689,Serpent Custom [ALT],18-02-4-01,111,4,,1,1,2,8,287,137,137,287,511,138,190,,"Long-Shooter Job, Sp. Shot power boosted 10%",,,Capsule Medals (Event Capsules)
690,Serpent Custom [ALT],18-02-5-01,111,5,,1,1,2,7,287,137,137,287,511,190,138,237,,,,Capsule Medals (Event Capsules)
691,Bazooka [ALT] [Serpent],18-02-7d-01,111,7,,1,1,2,7,137,0,1309,0,0,138,54,,"With ""Gundam Type"" enemy, Sp. Shot DMG taken reduced by 10",2,12,Capsule Medals (Event Capsules)
692,Beam Cannon [ALT] [Serpent],18-02-7b-01,111,7,,1,1,2,7,137,0,1309,0,0,138,54,,"Long-Shooter Job, Shooting DMG output boosted by 10",1,10,Capsule Medals (Event Capsules)
693,Byarlant Custom [ALT],12-05-1-01,112,1,,1,3,9,8,187,187,1480,187,570,0,0,,"Physical ranged weapon, reload speed boosted 15%",,,Capsule Medals (Event Capsules)
694,Byarlant Custom [ALT],12-05-2-01,112,2,,1,3,8,25,754,187,187,364,754,0,281,28,,,,Capsule Medals (Event Capsules)
695,Byarlant Custom [ALT],12-05-3-01,112,3,,1,3,8,9,570,364,187,187,754,81,201,238,,,,Capsule Medals (Event Capsules)
696,Byarlant Custom [ALT],12-05-4-01,112,4,,1,3,9,8,364,187,187,364,754,281,201,,"With Module Category equipped, Close Shot Attack raised 10%",,,Capsule Medals (Event Capsules)
697,Byarlant Custom [ALT],12-05-5-01,112,5,,1,3,8,16,364,187,187,364,754,201,281,114,,,,Capsule Medals (Event Capsules)
698,Gundam Rose [ALT],16-04-1-01,113,1,,1,2,14,24,559,292,1436,292,891,303,127,3,,,,Capsule Medals (Event Capsules)
699,Gundam Rose [ALT],16-04-2-01,113,2,,1,2,14,24,891,559,292,559,1144,430,0,,"With Technique attribute (self), EX Skill CD reduced 15%",,,Capsule Medals (Event Capsules)
700,Gundam Rose [ALT],16-04-3-01,113,3,8,1,2,14,24,1144,1994,292,1144,2304,592,127,239,,,,Capsule Medals (Event Capsules)
701,Gundam Rose [ALT],16-04-4-01,113,4,,1,2,14,8,559,292,292,292,891,430,303,74,,,,Capsule Medals (Event Capsules)
702,Gundam Rose [ALT],16-04-5-01,113,5,,1,2,14,8,559,292,292,292,891,430,303,,"With Saber Category equipped, Buff EX Skill time up 15%",,,Capsule Medals (Event Capsules)
703,Chevalier Saber [ALT],16-02-6a-01,113,6,,1,2,14,8,292,2594,0,0,559,303,127,,Job Gauge increase boosted 13%,2,2,Capsule Medals (Event Capsules)
704,Tallgeese [Endless Waltz Ver.],18-04-1-01,114,1,,4,3,9,8,799,384,2789,384,384,213,213,,"When Armor is 40% or more, EX Skill DMG output boosted by 35",,,Haro Chip Capsule & [No. 003] Bonus Coins
705,Tallgeese [Endless Waltz Ver.],18-04-2-01,114,2,,4,3,9,8,1606,799,799,799,799,290,290,,"In-Fighter Job, EX Skill DMG taken reduced by 35",,,Haro Chip Capsule & [No. 003] Bonus Coins
706,Tallgeese [Endless Waltz Ver.],18-04-3-01,114,3,8,4,3,9,6,1606,3587,1606,1182,1182,477,477,240,,,,Haro Chip Capsule & [No. 003] Bonus Coins
707,Tallgeese [Endless Waltz Ver.],18-04-4-01,114,4,,4,3,9,6,799,799,384,799,799,477,477,,"In-Fighter Job, EX Skill DMG taken reduced by 35",,,Haro Chip Capsule & [No. 003] Bonus Coins
708,Tallgeese [Endless Waltz Ver.],18-04-5-01,114,5,,4,3,9,6,799,799,384,799,799,477,477,,"With Speed attribute (self), Buff EX Skill time up 22%",,,Haro Chip Capsule & [No. 003] Bonus Coins
709,Dober Gun,18-04-7b-01,114,7,,4,3,9,8,384,0,3587,0,0,420,420,,"Beam ranged weapon, magazine boosted 20%",1,10,Haro Chip Capsule & [No. 003] Bonus Coins
710,Victory Gundam,15-01-1-01,115,1,,4,2,23,1,1181,384,796,1181,384,213,417,3,,,,Haro Chip Capsule & [No. 003] Bonus Coins
711,Victory Gundam,15-01-2-01,115,2,,4,2,23,1,1602,384,384,1602,796,0,611,,"With Rifle Category equipped, EX Skill piercing boosted 28%",,,Haro Chip Capsule & [No. 003] Bonus Coins
712,Victory Gundam,15-01-3-01,115,3,8,4,2,23,1,1181,3177,384,3997,1181,0,1028,241,,,,Haro Chip Capsule & [No. 003] Bonus Coins
713,Victory Gundam,15-01-4-01,115,4,,4,2,23,2,796,384,384,1602,796,611,417,,"With Rifle Category equipped, Close Shot Attack raised 20%",,,Haro Chip Capsule & [No. 003] Bonus Coins
714,Victory Gundam,15-01-5-01,115,5,,4,2,23,2,796,384,384,1602,796,417,611,,"With Technique attribute (self), Debuff EX Skill time up 22%",,,Haro Chip Capsule & [No. 003] Bonus Coins
715,Beam Saber [Victory],15-01-6a-01,115,6,,4,2,23,2,384,3997,0,0,0,213,417,,"With Technique attribute (self), Strong Melee CRIT rate boosted 30%",1,2,Haro Chip Capsule & [No. 003] Bonus Coins
716,Beam Rifle [Victory],15-01-7a-01,115,7,,4,2,23,2,1181,0,2380,0,0,417,611,,"Beam ranged weapon, reload speed boosted 20%",1,8,Haro Chip Capsule & [No. 003] Bonus Coins
717,Rozen Zulu,12-08-1-01,116,1,,3,2,17,3,889,291,558,889,558,302,126,,"Out-Fighter Job, Mid Shot Attack raised 14%",,,Rose Coins (Event)
718,Rozen Zulu,12-08-2-01,116,2,,3,2,17,3,1433,558,291,558,558,428,0,,"With Technique attribute (self), Sp. Shot DMG taken reduced by 20",,,Rose Coins (Event)
719,Rozen Zulu,12-08-3-01,116,3,,3,2,17,3,558,1991,0,889,889,0,0,242,,,,Rose Coins (Event)
720,Rozen Zulu,12-08-4-01,116,4,,3,2,17,10,889,291,291,889,558,428,302,,"When Armor is 40% or less, Shooting CRIT rate boosted 17%",,,Rose Coins (Event)
721,Rozen Zulu,12-08-5-01,116,5,,3,2,17,10,889,291,291,889,558,428,302,243,,,,Rose Coins (Event)
722,Shield [Rozen Zulu],12-08-8-01,116,8,,3,2,17,10,889,0,0,1142,558,590,123,244,,,,Rose Coins (Event)
723,Gundam GP01 [Zephyranthes],07-01-1-01,117,1,,4,2,1,16,1605,384,1181,797,797,418,0,3,,,,Haro Chip Capsule & [No. 004] Bonus Coins
724,Gundam GP01 [Zephyranthes],07-01-2-01,117,2,,4,2,1,16,2382,384,384,797,797,611,0,80,,,,Haro Chip Capsule & [No. 004] Bonus Coins
725,Gundam GP01 [Zephyranthes],07-01-3-01,117,3,,4,2,1,21,1181,1181,384,1181,1181,213,0,,"Beam ranged weapon, reload speed boosted 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
726,Gundam GP01 [Zephyranthes],07-01-4-01,117,4,,4,2,1,21,1181,384,384,1181,1181,213,611,,"Defender Job, EX Skill CD reduced 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
727,Gundam GP01 [Zephyranthes],07-01-5-01,117,5,,4,2,1,21,1181,384,384,1181,1181,611,213,245,,,,Haro Chip Capsule & [No. 004] Bonus Coins
728,Beam Rifle [GP01],07-01-7a-01,117,7,,4,2,1,16,1181,0,1605,384,384,611,418,,"With Technique attribute (self), Enemy Shooting power reduced 30%",1,8,Haro Chip Capsule & [No. 004] Bonus Coins
729,Shield [GP01],07-01-8-01,117,8,,4,2,1,16,1181,0,0,1181,1181,1029,0,221,,,,Haro Chip Capsule & [No. 004] Bonus Coins
730,Gundam GP02A [Physalis],07-07-1-01,118,1,,4,1,17,13,1605,384,1181,797,797,418,0,3,,,,Haro Chip Capsule & [No. 004] Bonus Coins
731,Gundam GP02A [Physalis],07-07-2-01,118,2,,4,1,17,13,2382,384,384,797,797,611,0,,11% chance to survive a fatal blow,,,Haro Chip Capsule & [No. 004] Bonus Coins
732,Gundam GP02A [Physalis],07-07-3-01,118,3,,4,1,17,13,1181,1181,384,1181,1181,213,0,,"Physical ranged weapon, reload speed boosted 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
733,Gundam GP02A [Physalis],07-07-4-01,118,4,,4,1,17,25,1181,384,384,1181,1181,213,611,246,,,,Haro Chip Capsule & [No. 004] Bonus Coins
734,Gundam GP02A [Physalis],07-07-5-01,118,5,,4,1,17,25,1181,384,384,1181,1181,611,213,,"With Bazooka Category equipped, Debuff EX Skill effect up 22%",,,Haro Chip Capsule & [No. 004] Bonus Coins
735,Atomic Bazooka,07-07-7d-01,118,7,,4,1,17,25,384,0,3997,0,0,213,417,247,,2,12,Haro Chip Capsule & [No. 004] Bonus Coins
736,Radiator Shield,07-07-8-01,118,8,,4,1,17,25,1181,0,0,1181,1181,1029,0,,"Physical ranged weapon, magazine boosted 20%",,,Haro Chip Capsule & [No. 004] Bonus Coins
737,Gundam AGE Normal,26-01-1-01,119,1,,3,1,7,13,559,294,893,559,559,303,303,28,,,,AGE Coins (Event)
738,Gundam AGE Normal,26-01-2-01,119,2,,3,1,7,13,559,294,294,559,559,432,432,,"With ""For Computers"" enemy, Strong Melee power boosted 25%",,,AGE Coins (Event)
739,Gundam AGE Normal,26-01-3-01,119,3,,3,1,7,13,294,893,294,559,559,432,432,,"When Armor is 40% or less, Melee DMG output boosted by 20",,,AGE Coins (Event)
740,Gundam AGE Normal,26-01-4-01,119,4,,3,1,7,1,294,294,294,893,893,432,432,248,,,,AGE Coins (Event)
741,Gundam AGE Normal,26-01-5-01,119,5,,3,1,7,1,294,294,294,893,893,432,432,,"When Armor is 60% or more, Shooting DMG output boosted by 20",,,AGE Coins (Event)
742,DODS Rifle,26-01-7a-01,119,7,,3,1,7,1,559,0,1146,0,0,432,432,,"With Power attribute (self), Initial EX Skill charge boosted 12%",1,8,AGE Coins (Event)
743,Shield [AGE],26-01-8-01,119,8,,3,1,7,13,294,0,0,893,893,594,594,,"With Power attribute (self), Buff EX Skill effect up 15%",,,AGE Coins (Event)
744,Unicorn,12-10-1-01,120,1,,4,1,20,13,965,553,2922,553,553,284,464,3,,,,Haro Chip Capsule
745,Unicorn,12-10-2-01,120,2,,4,1,20,13,1734,965,965,965,965,0,673,249,,,,Haro Chip Capsule
746,Unicorn,12-10-3-01,120,3,,4,1,20,13,965,2922,1356,553,553,0,0,250,,,,Haro Chip Capsule
747,Unicorn,12-10-4-01,120,4,,4,1,20,10,965,965,553,965,965,673,464,,"With Speed attribute (self), Sp. Shot power boosted 30%",,,Haro Chip Capsule
748,Unicorn,12-10-5-01,120,5,,4,1,20,10,965,965,553,965,965,464,673,251,,,,Haro Chip Capsule
749,Beam Saber [Unicorn],12-10-6a-01,120,6,,4,3,20,10,553,3690,0,0,0,464,673,,"With Speed attribute (self), Initial EX Skill charge boosted 20%",1,2,Haro Chip Capsule
750,Beam Magnum,12-10-7a-01,120,7,,4,3,20,10,553,154,3690,0,0,284,464,,"When Armor is 40% or more, Sp. Shot power boosted 30%",1,8,Haro Chip Capsule
751,Hyper Bazooka [Unicorn],12-10-7d-01,120,7,,4,3,20,13,553,154,3690,0,0,284,464,,"With Speed attribute (self), Enemy Shooting power reduced 30%",2,12,Haro Chip Capsule
752,Shield [Unicorn],12-10-8-01,120,8,,4,3,20,13,965,965,553,965,965,0,1082,,"When Armor is 40% or more, EX Skill DMG output boosted by 35",,,Haro Chip Capsule
753,Kshatriya,12-09-1-01,121,1,,4,1,17,20,0,551,3307,551,965,670,0,,"When attacking with Beam, Long Shot Attack raised 20%",,,Haro Chip Capsule
754,Kshatriya,12-09-2-01,121,2,,4,1,17,20,1732,965,965,0,1732,670,0,252,,,,Haro Chip Capsule
755,Kshatriya,12-09-3-01,121,3,8,4,1,17,20,2302,965,965,1506,4255,1543,282,156,,,,Haro Chip Capsule
756,Kshatriya,12-09-4-01,121,4,,4,1,17,3,965,551,965,965,1353,670,282,,"Long-Shooter Job, Enemy Melee power reduced 30%",,,Haro Chip Capsule
757,Gundam Heavyarms,17-04-1-01,122,1,,3,2,10,22,891,292,1702,292,292,213,213,,"Beam ranged weapon, magazine boosted 20%",,,Heavy Weaponry Coins (Event)
758,Gundam Heavyarms,17-04-2-01,122,2,,3,2,10,22,1435,292,558,558,558,213,213,253,,,,Heavy Weaponry Coins (Event)
759,Gundam Heavyarms,17-04-3-01,122,3,,3,2,10,22,891,558,558,891,891,0,0,254,,,,Heavy Weaponry Coins (Event)
760,Gundam Heavyarms,17-04-4-01,122,4,,3,2,10,25,891,292,292,558,891,351,351,,"With Technique attribute (self), Long Shot Attack raised 14%",,,Heavy Weaponry Coins (Event)
761,Gundam Heavyarms,17-04-5-01,122,5,,3,2,10,25,891,292,292,558,891,351,351,255,,,,Heavy Weaponry Coins (Event)
762,Beam Gatling Gun [with Shield],17-04-7-01,122,7,8,3,2,10,22,1702,0,2302,558,1144,624,624,,"Beam ranged weapon, magazine boosted 20%",1,11,Heavy Weaponry Coins (Event)
763,Sanakapool,99-08-2-01,123,2,1,3,1,4,15,2778,795,1179,2778,1974,211,1025,,"With Power attribute (self), EX Skill piercing boosted 28%",,,Sanakapool Coin Capsule [(001) Premium Material Exchange]
764,Sanakapool,99-08-3-01,123,3,,3,1,4,15,384,3173,384,1601,384,0,0,256,,,,Sanakapool Coin Capsule [(001) Premium Material Exchange]
765,Sanakapool,99-08-4-01,123,4,,3,1,4,26,795,384,384,1601,795,609,416,257,,,,Sanakapool Coin Capsule [(001) Premium Material Exchange]
766,Gundam Barbatos [6th Form],28-05-1-01,124,1,,4,3,24,3,1182,384,799,1182,384,290,290,,"With Blade Category equipped, EX Skill DMG output boosted by 35",,,Haro Chip Capsule & [No. 005] Bonus Coins
767,Gundam Barbatos [6th Form],28-05-2-01,124,2,,4,3,24,3,1606,384,384,1606,799,290,290,,"Defender Job, Shooting DMG taken reduced by 35",,,Haro Chip Capsule & [No. 005] Bonus Coins
768,Gundam Barbatos [6th Form],28-05-3-01,124,3,,4,3,24,3,384,3181,384,1606,384,0,0,258,,,,Haro Chip Capsule & [No. 005] Bonus Coins
769,Gundam Barbatos [6th Form],28-05-4-01,124,4,,4,3,24,13,799,384,384,1606,799,420,290,,"Defender Job, EX Skill piercing boosted 28%",,,Haro Chip Capsule & [No. 005] Bonus Coins
770,Gundam Barbatos [6th Form],28-05-5-01,124,5,,4,3,24,13,799,384,384,1606,799,290,420,259,,,,Haro Chip Capsule & [No. 005] Bonus Coins
771,Wrench Mace,28-05-6c-01,124,6,,4,3,24,3,384,4004,0,0,0,420,420,260,,2,5,Haro Chip Capsule & [No. 005] Bonus Coins
772,Gundam Nadleeh,25-06-1-01,125,1,,3,3,20,26,558,291,1698,558,558,0,302,,"Middle-Shooter Job, Shooting CRIT rate boosted 17%",,,Trial Coins (Event)
773,Gundam Nadleeh,25-06-2-01,125,2,,3,3,20,26,1140,291,291,889,889,0,428,261,,,,Trial Coins (Event)
774,Gundam Nadleeh,25-06-3-01,125,3,,3,3,20,26,558,1698,291,889,889,0,0,,"With Speed attribute (self), Melee power boosted 25%",,,Trial Coins (Event)
775,Gundam Nadleeh,25-06-4-01,125,4,,3,3,20,13,558,291,291,889,889,302,428,,"When Armor is 40% or more, Shot spread reduced 15%",,,Trial Coins (Event)
776,Gundam Nadleeh,25-06-5-01,125,5,,3,3,20,13,558,291,291,889,889,302,428,,"With Speed attribute (self), Shooting power boosted 25%",,,Trial Coins (Event)
777,GN Beam Saber [Nadleeh],25-06-6a-01,125,6,,3,3,20,26,558,2297,0,0,0,126,428,,"With Speed attribute (self), Enemy Melee power reduced 25%",1,2,Trial Coins (Event)
778,GN Beam Rifle [Nadleeh],25-06-7a-01,125,7,,3,3,20,26,558,0,2297,0,0,126,426,,"Middle-Shooter Job, Shooting DMG output boosted by 20",1,8,Trial Coins (Event)
779,GN Shield [Nadleeh],25-06-8-01,125,8,,3,3,20,26,558,0,0,1140,1140,126,588,,"Middle-Shooter Job, Debuff EX Skill time up 16%",,,Trial Coins (Event)
780,Gusion Rebake,28-04-1-01,126,1,,1,1,11,21,795,384,1179,1179,1179,416,0,,"Physical ranged weapon, magazine boosted 20%",,,Haro Chip Capsule & [No. 005] Bonus Coins
781,Gusion Rebake,28-04-2-01,126,2,,1,1,11,21,1601,384,0,1179,1179,609,0,,"With Axe Category equipped, Shooting DMG taken reduced by 35",,,Haro Chip Capsule & [No. 005] Bonus Coins
782,Gusion Rebake,28-04-3-01,126,3,,1,1,11,21,795,1179,384,1179,1179,416,211,,"Defender Job, Melee DMG taken reduced by 35",,,Haro Chip Capsule & [No. 005] Bonus Coins
783,Gusion Rebake,28-04-4-01,126,4,,1,1,11,6,795,384,384,1601,1601,211,416,262,,,,Haro Chip Capsule & [No. 005] Bonus Coins
784,Gusion Rebake,28-04-5-01,126,5,,1,1,11,6,795,384,384,1601,1601,416,211,263,,,,Haro Chip Capsule & [No. 005] Bonus Coins
785,Halberd,28-04-6b-01,126,6,,4,1,11,21,795,1601,0,795,795,609,416,,"Defender Job, Job Gauge increase boosted 17%",2,1,Haro Chip Capsule & [No. 005] Bonus Coins
786,120mm Long-Range Rifle,28-04-7b-01,126,7,,4,1,11,21,795,0,1601,795,795,609,416,,"When Armor is 40% or more, Shooting DMG taken reduced by 35",2,10,Haro Chip Capsule & [No. 005] Bonus Coins
787,Shield [Gusion Rebake],28-04-8-01,126,8,,4,1,11,6,0,0,0,1974,1974,805,211,264,,,,Haro Chip Capsule & [No. 005] Bonus Coins
788,Gundam GP03 [Stamen],07-08-1-01,127,1,,4,2,1,16,1180,383,796,1180,796,212,417,,"With Technique attribute (self), EX Skill piercing boosted 28%",,,Haro Chip Capsule
789,Gundam GP03 [Stamen],07-08-2-01,127,2,,4,2,1,16,1976,796,383,796,796,0,610,265,,,,Haro Chip Capsule
790,Gundam GP03 [Stamen],07-08-3-01,127,3,,4,2,1,16,796,2781,0,1180,1180,0,0,,"With Technique attribute (self), Strong Melee CRIT rate boosted 30%",,,Haro Chip Capsule
791,Gundam GP03 [Stamen],07-08-4-01,127,4,,4,2,1,7,1180,383,383,1180,796,417,610,,"With Technique attribute (self), Shooting CRIT rate boosted 30%",,,Haro Chip Capsule
792,Gundam GP03 [Stamen],07-08-5-01,127,5,,4,2,1,7,1180,383,383,1180,796,417,610,140,,,,Haro Chip Capsule
793,Folding Bazooka,07-08-7d-01,127,7,,4,2,1,7,1180,0,2378,0,0,212,610,123,,2,12,
794,Folding Shield,07-08-8-01,127,8,,4,2,1,16,1180,0,0,1601,796,212,805,,"With Technique attribute (self), Shooting DMG taken reduced by 35",,,
795,Jagd Doga [Quess Custom],11-04-1-01,128,1,,3,2,20,17,559,294,2000,559,294,53,53,,"When Armor is 60% or more, Mid Shot Attack raised 14%",,,Silver-Red Coins (Event)
796,Jagd Doga [Quess Custom],11-04-2-01,128,2,,3,2,20,17,893,294,294,1147,559,215,215,,"With Technique attribute (self), Strong Melee power boosted 20%",,,Silver-Red Coins (Event)
797,Jagd Doga [Quess Custom],11-04-3-01,128,3,,3,2,20,17,559,1440,294,893,559,0,0,156,,,,Silver-Red Coins (Event)
798,Jagd Doga [Quess Custom],11-04-4-01,128,4,,3,2,20,8,559,294,559,893,294,352,352,121,,,,Silver-Red Coins (Event)
799,Jagd Doga [Quess Custom],11-04-5-01,128,5,,3,2,20,8,559,294,294,1147,294,352,352,,"With Gatling Gun Category equipped, Mid Shot Attack raised 14%",,,Silver-Red Coins (Event)
800,Beam Saber with Heat Knife,11-04-6a-01,128,6,,3,2,20,17,559,1440,0,559,0,303,303,,"When Attacking with Beam, Melee DMG output boosted by 20",1,2,Silver-Red Coins (Event)
801,Mega Gatling Gun,11-04-7-01,128,7,,3,2,20,17,294,0,2600,559,0,215,215,266,,1,11,Silver-Red Coins (Event)
802,Shield [Jagd Doga (Quess Custom)],11-04-8-01,128,8,,3,2,20,17,559,0,0,1440,559,352,352,267,,,,Silver-Red Coins (Event)
803,MARSFOUR GUNDAM,62-02-1-01,129,1,,4,1,6,13,1181,384,796,1181,384,417,213,3,,,,Haro Chip Capsule & [No. 006] Bonus Coins
804,MARSFOUR GUNDAM,62-02-2-01,129,2,,4,1,6,13,1602,384,384,1602,796,611,0,,"With Power attribute (self), EX Skill CD reduced 20%",,,Haro Chip Capsule & [No. 006] Bonus Coins
805,MARSFOUR GUNDAM,62-02-3-01,129,3,,4,1,6,13,384,3177,384,1602,384,0,0,,"With Power attribute (self), Enemy Melee power reduced 30%",,,Haro Chip Capsule & [No. 006] Bonus Coins
806,MARSFOUR GUNDAM,62-02-4-01,129,4,,4,1,6,26,796,384,384,1602,796,417,611,,"When Armor is 40% or more, EX Skill piercing boosted 28%",,,Haro Chip Capsule & [No. 006] Bonus Coins
807,MARSFOUR GUNDAM,62-02-5-01,129,5,,4,1,6,26,796,384,384,1602,796,611,417,268,,,,Haro Chip Capsule & [No. 006] Bonus Coins
808,HEAT REV SWORD,62-02-6-01,129,6,,4,1,6,26,384,3997,0,0,0,417,213,,"With Power attribute (self), Initial EX Skill charge boosted 20%",1,4,
809,SLASH BLADE,62-02-6c-01,129,6,,4,1,6,26,384,3997,0,0,0,417,213,269,,2,5,
810,Gundam X,19-01-1-01,130,1,,4,3,1,10,384,384,3181,384,1182,0,0,270,,,,Haro Chip Capsule & [No. 007] Bonus Coins
811,Gundam X,19-01-2-01,130,2,,4,3,1,10,1606,384,384,799,1606,290,290,,"With Speed attribute (self), Shooting power boosted 30%",,,Haro Chip Capsule & [No. 007] Bonus Coins
812,Gundam X,19-01-3-01,130,3,,4,3,1,23,1182,799,384,384,1606,290,290,,26% chance of attacks penetrating super armor,,,Haro Chip Capsule & [No. 007] Bonus Coins
813,Gundam X,19-01-4-01,130,4,,4,3,1,23,799,384,384,799,1606,420,420,,30% chance to not recoil,,,Haro Chip Capsule & [No. 007] Bonus Coins
814,Gundam X,19-01-5-01,130,5,,4,3,1,10,799,384,384,799,1606,420,420,271,,,,Haro Chip Capsule & [No. 007] Bonus Coins
815,Large Beam Sword,19-01-6c-01,130,6,,4,3,1,10,1182,2384,0,0,0,477,477,,"With Speed attribute (self), Melee DMG taken reduced by 35",1,5,Haro Chip Capsule & [No. 007] Bonus Coins
816,Shield Buster Rifle,19-01-7a-01,130,7,,4,3,1,10,384,0,4004,0,0,290,290,,"With Speed attribute (self), Initial EX Skill charge boosted 20%",1,8,Haro Chip Capsule & [No. 007] Bonus Coins
817,Gundam Virsago,19-03-1-01,131,1,,4,1,16,10,1181,384,2380,384,384,213,417,,"When Armor is 40% or less, Shooting CRIT rate boosted 30%",,,Haro Chip Capsule & [No. 007] Bonus Coins
818,Gundam Virsago,19-03-2-01,131,2,,4,1,16,10,1977,384,796,796,796,0,611,272,,,,Haro Chip Capsule & [No. 007] Bonus Coins
819,Gundam Virsago,19-03-3-01,131,3,,4,1,16,10,1181,796,796,1181,1181,0,0,273,,,,Haro Chip Capsule & [No. 007] Bonus Coins
820,Gundam Virsago,19-03-4-01,131,4,,4,1,16,12,1181,384,384,796,1181,417,611,138,,,,Haro Chip Capsule & [No. 007] Bonus Coins
821,Gundam Virsago,19-03-5-01,131,5,,4,1,16,12,1181,384,384,796,1181,417,611,,50% chance to prevent vernier consumption when stepping,,,Haro Chip Capsule & [No. 007] Bonus Coins
822,Beam Saber [Virsago],19-03-6c-01,131,6,,4,1,16,12,1181,2380,0,0,384,213,417,,"Middle-Shooter Job, Melee DMG output boosted by 35",1,5,Haro Chip Capsule & [No. 007] Bonus Coins
823,Strike Shooter,19-03-7a-01,131,7,,4,1,16,12,1181,0,3177,0,0,213,611,,"Middle-Shooter Job, Initial EX Skill charge boosted 20%",1,8,Haro Chip Capsule & [No. 007] Bonus Coins
824,Launcher Strike Gundam,21-03-1-01,132,1,,3,1,8,10,291,291,2300,291,889,0,0,274,,,,Knockout Coins (Event)
825,Launcher Strike Gundam,21-03-2-01,132,2,,3,1,8,10,1142,291,291,558,1142,0,428,,"Against a large enemy, Debuff EX Skill effect up 15%",,,Knockout Coins (Event)
826,Launcher Strike Gundam,21-03-3-01,132,3,,3,1,8,10,889,558,291,291,1142,126,302,275,,,,Knockout Coins (Event)
827,Launcher Strike Gundam,21-03-4-01,132,4,,3,1,8,21,558,291,291,558,1142,428,302,,"Against a large enemy, EX Skill CD reduced 15%",,,Knockout Coins (Event)
828,Launcher Strike Gundam,21-03-5-01,132,5,,3,1,8,21,558,291,291,558,1142,302,428,276,,,,Knockout Coins (Event)
829,Strike Noir,24-02-1-01,133,1,,3,3,13,20,291,291,2300,291,889,0,0,3,,,,Obsidian Coins (Event)
830,Strike Noir,24-02-2-01,133,2,,3,3,13,20,1142,291,291,558,1142,428,0,,"With Dual Sabers Category equipped, EX Skill DMG output boosted by 20",,,Obsidian Coins (Event)
831,Strike Noir,24-02-3-01,133,3,,3,3,13,22,889,558,291,291,1142,302,126,,"With Speed attribute (self), Melee CRIT rate boosted 17%",,,Obsidian Coins (Event)
832,Strike Noir,24-02-4-01,133,4,,3,3,13,22,558,291,291,558,1142,302,428,277,,,,Obsidian Coins (Event)
833,Strike Noir,24-02-5-01,133,5,,3,3,13,22,558,291,291,558,1142,428,302,278,,,,Obsidian Coins (Event)
834,Fragarach 3-Beam Blade,24-02-6-01,133,6,,3,3,13,20,889,1701,0,0,0,428,302,,21% chance of attacks penetrating super armor,1,4,Obsidian Coins (Event)
835,Enhanced ZZ Gundam [Ver Ka.],10-03-1-01,134,1,,4,1,13,3,965,0,3306,551,551,282,464,279,,,,Haro Chip Capsule
836,Enhanced ZZ Gundam [Ver Ka.],10-03-2-01,134,2,,4,1,13,3,1732,551,551,1732,965,75,670,280,,,,Haro Chip Capsule
837,Enhanced ZZ Gundam [Ver Ka.],10-03-3-01,134,3,8,4,1,13,3,1884,1506,551,4255,1506,381,947,,"With Power attribute (self), Strong Melee DMG output boosted by 35",,,Haro Chip Capsule
838,Enhanced ZZ Gundam [Ver Ka.],10-03-4-01,134,4,,4,1,13,10,965,329,551,1732,965,464,670,,"With Blade Category equipped, EX Skill CD reduced 20%",,,Haro Chip Capsule
839,Enhanced ZZ Gundam [Ver Ka.],10-03-5-01,134,5,,4,1,13,10,965,329,551,1732,965,464,670,281,,,,Haro Chip Capsule
840,Hyper Beam Saber [Enhanced ZZ (Ver. Ka)] ,10-03-6c-01,134,6,,4,1,1,10,551,3138,0,788,153,282,464,282,,1,5,Haro Chip Capsule
841,Hi-ν Gundam HWS [Ver. Ka],41-01-1-01,135,1,,4,2,3,11,895,0,3309,551,551,464,282,3,,,,Haro Chip Capsule
842,Hi-ν Gundam HWS [Ver. Ka],41-01-2-01,135,2,,4,2,3,11,1732,551,551,965,1732,672,75,283,,,,Haro Chip Capsule
843,Hi-ν Gundam HWS [Ver. Ka],41-01-3-01,135,3,,4,2,3,11,965,1355,551,551,1732,75,75,,"When Armor is 40% or more, Sp. Shot power boosted 30%",,,Haro Chip Capsule
844,Hi-ν Gundam HWS [Ver. Ka],41-01-4-01,135,4,,4,2,3,10,965,551,551,965,1732,672,464,284,,,,Haro Chip Capsule
845,Hi-ν Gundam HWS [Ver. Ka],41-01-5-01,135,5,,4,2,3,10,965,551,551,965,1732,672,464,122,,,,Haro Chip Capsule
846,Hyper Mega Rifle [Hi-nu HWS (Ver. Ka)],41-01-7a-01,135,7,,4,2,3,10,551,153,4105,153,0,672,282,,"With Technique attribute (self), EX Skill power boosted 30%",1,8,Haro Chip Capsule
847,Hi-Mega Shield [Hi-nu HWS (Ver. Ka)],41-01-8-01,135,8,,4,2,3,10,965,153,0,965,2521,872,282,285,,,,Haro Chip Capsule
848,Leo,17-07-1-01,136,1,,1,1,2,25,372,137,797,137,137,138,54,,"With Machine Gun Category equipped, Sp. Shot power boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
