Index,Name,Description,Cat,Prc,Pow,Dur,Mag,Cd,Cd I
472,The Axis will fall on rule breakers!,Mercilessly deal devine-justice knockout blows to in-game violators of common decency. Uphold the spirit of The Antarctic Treaty! Let's protect our GBN!,2,A,B,,,98,25
473,Zeonic Sword [Bowgun Mode],Set up your bowgun-shaped beam weapon and fire a beam to pierce through rule breakers.,1,A-,C,,,60,15
474,Assault Attack,Unleash a savage attack from the air with your Chest Vulcan and machine gun.,2,A-,B,,,21,6
475,Alaya-Vijnana System,Break the Alaya-Vijnana System to temporarily increase your unit's performance. Raise your speed by 20%. Raise your Shot Attack by 39%. Your Gunpla resists flinching for a set period of time.,6,,,44,,60,12
476,Super Galaxy Cannon,Shoulder your special-warhead-equipped railgun and fire an ultra-high-speed round.,2,D,A,,,79,20
477,Long Barrel Cannon & Machine Gun,Rapidly fire your regular-warhead-equipped railgun and machine guns in your hands.,2,D,B+,,,21,6
478,Arm-Mounted Rocket Cannon,Fire the rocket cannon in your main arm. You can move while firing.,2,D,B,,7,60,0
479,Scissor-Variable Rear Armor,Transform your rear armor into scissors and ferociously crush your captured enemy. Raise Melee Attack of your Squad by 39%.,4,D,A,,,79,20
480,Sub-Arm Railgun,"Rapidly fire the railgun, long-range rifle, and smoothbore cannon on your arms and sub arms.",2,A-,B,,,21,3
481,Flash Bang,Fire flash bangs meant for retreat from four muzzles to paralyze enemies for a fixed period of time.,2,,,,,21,6
482,Slash Disk,Launch a disk made with rare metal composite materials spinning at lightning speed.,2,A-,C-,,,21,3
483,Combat Knife,Unleash a flurry of attacks with the knife in your right hand.,4,D,B+,,,21,6
484,Demolishing Fall,"Toss foes skyward, then smash them down with your lance. Squad recovers 48% of maximum Armor. Raise Physical Resist of your Squad by 49%.",4,D,A,,,79,20
485,Psyco Power,Unleash the power of thoughts to paralyze enemies for a fixed period of time.,3,A,D,,,21,3
486,Hide Bomb,Plant the mines stowed in your shoulder.,2,D,B,,11,60,0
487,Waist Beam Cannon,Fire at eneimies using the forward-facing dual beam cannons stowed on your waist.,1,D,B,,,21,6
488,Composite Shield Booster,"Transform your shield into a rifle, blade, and claw to carry out a flurry of attacks. Raise Melee and Shot Attack of your Squad by 24%.",1,A+,C,,,79,8
489,Micro Missile,Fire micro missiles from pods in your shoulders.,2,D,B+,,,21,6
490,Homing Missile & Machine Cannon,Spray homing missiles from the launcher pods on your legs.,2,D,B+,,,21,6
491,Cotton,"Expel the cotton in your body from your mouth, entangling hit enemies for a set period of time",2,D,B+,,,60,15
492,Hyper Mode,Enter Hyper Mode for enhanced combat prowess. Raise speed by 20%. Raise your Melee Attack by 19%. Raise your Melee Defense by 19%.,6,,,51,,60,12
493,Sekiha Tenkyo Burning Finger,Create a humongous fist with Sekiha Tenkyoken energy and crush enemies in your grasp. Raise speed of your Squad by 20% Raise Melee Attack of your Squad by 39%.,4,D,A+,,,79,40
494,Bakunetsu Burning Slash,Concentrate your energy into a Burning Slash and unleash a high-powered three-strike attack.,3,D,A-,,,21,3
495,Imitation Houou Haoh-Ken,"Copy a Kamiki Gunpla Style technique to make a beast-shaped strike with blazing, violet arms. Squad recovers 48% of maximum Armor. Raise Melee Attack of your Squad by 29%.",4,D,A,,,79,20
496,Burning Burst System,Maximize particle emissions from your Gunpla to temporarily boost its capabilities. Raise your speed by 20%. Raise your Melee Attack by 39%.,6,,,44,,60,12
497,Heat Rush,Execute a rush attack with the beam swords on your forearms.,3,A,D,,,21,3
498,Pristis Beam Reamer,Launch a beam from the experimental DRAGOON System on your waist.,1,A,D,,,21,3
499,Composite Armed Shield System,Launch rapid-fire beams from your shield. You can move while firing.,1,D,B-,,11,60,0
500,Double Saber Shear,Cleave through enemies with sabers in each hand.,3,B+,B-,,,21,3
501,Brand Marker,Unleash a barrage of attacks with two beam sabers extending from your brass knuckles.,3,D,B+,,,21,6
502,Skull Heart Shot,Launch a combo attack using the daggers in your soles against an enemy restrained by your scissor anchors. Squad recovers 48% of maximum Armor.,4,D,A+,,,79,40
503,Peacock Smasher,"Fire eight beams, splayed out like the feathers of a peacock, from your rifle.",1,A,D,,,60,15
504,Dragon Fang,Unleash a burst of flame at enemies ahead of you from your dragon-shaped arm.,4,D,B+,,,21,3
505,Twin Blade Attack,Unleash a barrage of attacks with your twin blades.,3,A-,B-,,,21,3
506,Beam Cannon,Fire beams from your arm beam cannons and the long blade on your shoulder unit.,1,D,B-,,,21,6
507,RG Double Build Knuckles,Gather power from the RG System into your fist to hammer enemies with powerful punches.,4,D,B+,,,21,6
508,Star Funnels,Form Discharge System particle bits and attack with your Plavsky-Power-Gate-bypassing saber.,3,D,B+,,,19,5
509,Star Beam Cannon,Fire at enemies using the dual beam cannons stowed on your waist. Raise your speed by 20%.,1,A+,C-,,,60,15
510,Discharge System [Rifle Mode],"Fill your rifle with Plavsky Particles and fire a powerful, Plavsky-Power-Gate-bypassing beam.",1,A+,C-,,,60,15
511,Absorb Shield,Deploy your shield to temporarily mitigate damage from beam attacks. Raise your Beam Resist by 100%. Your Gunpla resists flinching for a set period of time.,6,,,1,,41,9
512,Brinicle & Prominence,"Modify Plavsky Particles to wield fire in your right hand and ice in your left, and attack. Raise speed of your Squad by 20%. Raise Melee Attack of your Squad by 29%. Raise Shot Defense of your Squad by 19%.",4,D,A,,,79,8
513,Dark Matter Blades,Attach Dark Matter Booster wings yo your arms and carve up enemies with your keen blades. Raise your Melee Attack by 24%.,4,A-,B-,,,21,6
514,M106 Amfortas Plasma Beam Cannon,Attack enemies ahead by firing highly compressed plasma energy from your Plasma Beam Cannon.,1,A+,C-,,,60,15
