Index,Part Name,Collection ID,Unit ID,Part Type,X Part,Rarity,Attr,W Tag 1,W Tag 2,Armor,Melee ATK,Shot ATK,Melee DEF,Shot DEF,Beam RES,Phys. RES,EX ID,Trait Condition,Trait Effect,Trait,Wep Type,Wep Cat,Notes
1229,Yami Syougun,00-00-1-01,196,1,,4,3,18,6,972,556,2541,972,972,0,471,,Out-Fighter Job,Close Shot Attack raised 20%,"Out-Fighter Job, Close Shot Attack raised 20%",,,Haro Chip Capsule
1230,Yami Syougun,00-00-2-01,196,2,,4,3,18,6,1747,556,556,1365,1365,0,682,377,,,,,,Haro Chip Capsule
1231,Yami Syougun,00-00-3-01,196,3,,4,3,18,6,972,2541,556,1365,1365,0,76,,Beam ranged weapon,reload speed boosted 20%,"Beam ranged weapon, reload speed boosted 20%",,,Haro Chip Capsule
1232,Yami Syougun,00-00-4-01,196,4,,4,3,18,26,972,556,556,1365,1365,471,682,,With Speed attribute (self),EX Skill DMG taken reduced by 35,"With Speed attribute (self), EX Skill DMG taken reduced by 35",,,Haro Chip Capsule
1233,Yami Syougun,00-00-5-01,196,5,,4,3,18,26,972,556,556,1365,1365,471,682,417,,,,,,Haro Chip Capsule
1234,Darkness Sword,00-00-6a-01,196,6,,4,3,18,26,972,3334,0,0,0,287,682,,With Speed attribute (self),Melee DMG output boosted by 35,"With Speed attribute (self), Melee DMG output boosted by 35",2,2,Haro Chip Capsule
1235,Darkness Cannon,00-00-7d-01,196,7,,4,3,18,6,972,0,3334,0,0,287,682,,With Speed attribute (self),Job Gauge increase boosted 17%,"With Speed attribute (self), Job Gauge increase boosted 17%",1,12,Haro Chip Capsule
1236,Gundam Virtue,00-00-1-01,197,1,,3,1,11,20,292,292,2304,292,891,0,0,,Long-Shooter Job,Shooting DMG taken reduced by 20,"Long-Shooter Job, Shooting DMG taken reduced by 20",,,Full Throttle Chips (Event)
1237,Gundam Virtue,00-00-2-01,197,2,,3,1,11,20,1144,292,292,559,1144,213,213,,With Power attribute (self),Buff EX Skill time up 15%,"With Power attribute (self), Buff EX Skill time up 15%",,,Full Throttle Chips (Event)
1238,Gundam Virtue,00-00-3-01,197,3,,3,1,11,20,891,559,292,292,1144,213,213,,With Bazooka category equipped,Sp. Shot power boosted 25%,"With Bazooka category equipped, Sp. Shot power boosted 25%",,,Full Throttle Chips (Event)
1239,Gundam Virtue,00-00-4-01,197,4,,3,1,11,10,559,292,292,559,1144,303,303,292,,,,,,Full Throttle Chips (Event)
1240,Gundam Virtue,00-00-5-01,197,5,,3,1,11,10,559,292,292,559,1144,303,303,418,,,,,,Full Throttle Chips (Event)
1241,GN Bazooka [Virtue],00-00-7d-01,197,7,,3,1,11,10,292,0,2871,0,0,213,213,419,,,,1,12,Full Throttle Chips (Event)
1242,Gundam Bael,00-00-1-01,198,1,,4,2,6,20,1181,384,796,1181,384,417,213,420,,,,,,Haro Chip Capsule
1243,Gundam Bael,00-00-2-01,198,2,,4,2,6,20,1602,384,384,1602,796,611,0,,With Technique attribute (self),Buff EX Skill effect up 22%,"With Technique attribute (self), Buff EX Skill effect up 22%",,,Haro Chip Capsule
1244,Gundam Bael,00-00-3-01,198,3,,4,2,6,20,384,3177,384,1602,384,0,0,,With Dual Sabers category equipped,Melee power boosted 30%,"With Dual Sabers category equipped, Melee power boosted 30%",,,Haro Chip Capsule
1245,Gundam Bael,00-00-4-01,198,4,,4,2,6,13,796,384,384,1602,796,417,611,421,,,,,,Haro Chip Capsule
1246,Gundam Bael,00-00-5-01,198,5,,4,2,6,13,796,384,384,1602,796,611,417,422,,,,,,Haro Chip Capsule
1247,Bael Sword,00-00-6-01,198,6,,4,2,6,13,384,3997,0,0,0,417,213,,With Technique attribute (self),EX Skill power boosted 30%,"With Technique attribute (self), EX Skill power boosted 30%",2,4,Haro Chip Capsule
1248,Crossbone Gundam X2,00-00-1-01,199,1,,4,1,10,20,384,384,3177,384,1181,0,0,,Long-Shooter Job,Long Shot Attack raised 20%,"Long-Shooter Job, Long Shot Attack raised 20%",,,Haro Chip Capsule
1249,Crossbone Gundam X2,00-00-2-01,199,2,,4,1,10,20,1602,384,384,796,1602,611,0,423,,,,,,Haro Chip Capsule
1250,Crossbone Gundam X2,00-00-3-01,199,3,,4,1,10,20,1181,796,384,384,1602,417,213,,Beam ranged weapon,reload speed boosted 20%,"Beam ranged weapon, reload speed boosted 20%",,,Haro Chip Capsule
1251,Crossbone Gundam X2,00-00-4-01,199,4,,4,1,10,3,796,384,384,796,1602,417,611,424,,,,,,Haro Chip Capsule
1252,Crossbone Gundam X2,00-00-5-01,199,5,,4,1,10,3,796,384,384,796,1602,611,417,,With Power attribute (self),EX Skill piercing boosted 28%,"With Power attribute (self), EX Skill piercing boosted 28%",,,Haro Chip Capsule
1253,Shot Lancer [X2],00-00-6d-01,199,6,,4,1,10,13,1181,2380,0,0,0,611,417,425,,,,2,6,Haro Chip Capsule
1254,Beam Zanba [X2],00-00-6a-01,199,6,,4,1,10,20,1181,2380,0,0,0,611,417,,"While ""High Firepower""",Initial EX Skill charge boosted 20%,"While ""High Firepower"", Initial EX Skill charge boosted 20%",1,2,Haro Chip Capsule
1255,Zanbuster [X2],00-00-7a-01,199,7,,4,1,10,3,384,0,3997,0,0,417,213,,With Power attribute (self),Sp. Shot CRIT rate boosted 30%,"With Power attribute (self), Sp. Shot CRIT rate boosted 30%",1,8,Haro Chip Capsule
1256,Buster Gun [X2],00-00-7a-02,199,7,,4,1,10,13,384,0,3997,0,0,417,213,,Long-Shooter Job,EX Skill DMG taken reduced by 35,"Long-Shooter Job, EX Skill DMG taken reduced by 35",1,8,Haro Chip Capsule
1257,ABC Cloak [X2],00-00-8-01,199,8,,4,1,10,13,796,0,0,796,2380,1028,0,,With Power attribute (self),Enemy Shooting power reduced 30%,"With Power attribute (self), Enemy Shooting power reduced 30%",,,Haro Chip Capsule
1258,Ryusei-Go [Graze Custom II],00-00-1-01,200,1,,3,2,3,7,558,291,1700,558,558,126,126,426,,,,,,Weathered Coins (Event)
1259,Ryusei-Go [Graze Custom II],00-00-2-01,200,2,,3,2,3,7,1142,291,291,889,889,213,213,,With Technique attribute (self),Shooting power boosted 25%,"With Technique attribute (self), Shooting power boosted 25%",,,Weathered Coins (Event)
1260,Ryusei-Go [Graze Custom II],00-00-3-01,200,3,,3,2,3,7,558,1700,291,889,889,0,0,,,21% chance of attacks penetrating super armor,21% chance of attacks penetrating super armor,,,Weathered Coins (Event)
1261,Ryusei-Go [Graze Custom II],00-00-4-01,200,4,,3,2,3,24,558,291,291,889,889,349,375,,When Armor is 70% or less,EX Skill CD reduced 15%,"When Armor is 70% or less, EX Skill CD reduced 15%",,,Weathered Coins (Event)
1262,Ryusei-Go [Graze Custom II],00-00-5-01,200,5,,3,2,3,24,558,291,291,889,889,375,349,,When attacking with Physical,Mid Shot Attack raised 14%,"When attacking with Physical, Mid Shot Attack raised 14%",,,Weathered Coins (Event)
1263,Battle Axe [Ryusei-Go],00-00-6b-01,200,6,,3,2,3,24,558,2298,0,0,0,302,302,427,,,,2,1,Weathered Coins (Event)
1264,120mm Rifle [Ryusei-Go],00-00-7c-01,200,7,,3,2,3,7,558,0,2298,0,0,302,302,,Physical ranged weapon,reload speed boosted 15%,"Physical ranged weapon, reload speed boosted 15%",2,9,Weathered Coins (Event)
1265,Moon Gundam,00-00-1-01,201,1,,4,2,13,20,797,384,2785,384,384,418,213,,With Technique attribute (self),Enemy Shooting power reduced 30%,"With Technique attribute (self), Enemy Shooting power reduced 30%",,,[2020] April Step-Up Capsule & [No. 018] Bonus Coins
1266,Moon Gundam,00-00-2-01,201,2,,4,2,13,20,1605,797,797,797,797,611,0,,Out-Fighter Job,Buff EX Skill time up 22%,"Out-Fighter Job, Buff EX Skill time up 22%",,,[2020] April Step-Up Capsule & [No. 018] Bonus Coins
1267,Moon Gundam,00-00-3-01,201,3,,4,2,13,20,797,2785,1181,384,384,0,0,428,,,,,,[2020] April Step-Up Capsule & [No. 018] Bonus Coins
1268,Moon Gundam,00-00-4-01,201,4,,4,2,13,1,797,797,384,797,797,418,611,,When Armor is 70% or less,EX Skill CD reduced 20%,"When Armor is 70% or less, EX Skill CD reduced 20%",,,[2020] April Step-Up Capsule & [No. 018] Bonus Coins
1269,Moon Gundam,00-00-5-01,201,5,,4,2,13,1,797,797,384,797,797,611,418,429,,,,,,[2020] April Step-Up Capsule & [No. 018] Bonus Coins
1270,Beam Tomahawk [Moon],00-00-6b-01,201,6,,4,2,13,1,384,3582,0,0,0,611,418,,With Technique attribute (self),Enemy Melee power reduced 30%,"With Technique attribute (self), Enemy Melee power reduced 30%",1,1,[2020] April Step-Up Capsule & [No. 018] Bonus Coins
1271,Beam Rifle [Moon],00-00-7a-01,201,7,,4,2,13,20,384,0,3582,0,0,418,213,,When Armor is 70% or less,EX Skill power boosted 30%,"When Armor is 70% or less, EX Skill power boosted 30%",1,8,[2020] April Step-Up Capsule & [No. 018] Bonus Coins
1272,Command Gundam,00-00-1-01,202,1,,3,2,13,8,559,294,1999,559,294,0,129,,"While ""Long-Range""",Long Shot Attack raised 14%,"While ""Long-Range"", Long Shot Attack raised 14%",,,G-ARMS Coins (Event)
1273,Command Gundam,00-00-2-01,202,2,,3,2,13,8,893,294,294,1146,559,0,432,430,,,,,,G-ARMS Coins (Event)
1274,Command Gundam,00-00-3-01,202,3,,3,2,13,26,559,1438,294,893,559,0,0,,With Technique attribute (self),Shot guidance boosted 14%,"With Technique attribute (self), Shot guidance boosted 14%",,,G-ARMS Coins (Event)
1275,Command Gundam,00-00-4-01,202,4,,3,2,13,10,559,294,559,893,294,303,432,,Long-Shooter Job,Enemy Melee power reduced 25%,"Long-Shooter Job, Enemy Melee power reduced 25%",,,G-ARMS Coins (Event)
1276,Command Gundam,00-00-5-01,202,5,,3,2,13,26,559,294,294,1146,294,303,432,431,,,,,,G-ARMS Coins (Event)
1277,Command Knife,00-00-6a-01,202,6,,3,2,13,26,559,1438,0,559,0,129,432,432,,,,2,2,G-ARMS Coins (Event)
1278,Grenade Launcher w/ Laser Machine Gun,00-00-7c-01,202,7,,3,2,13,10,294,0,2598,559,0,129,303,433,,,,1,9,G-ARMS Coins (Event)
1279,Heavy Autocannon,00-00-7-01,202,7,,3,2,13,26,294,0,2598,559,0,129,303,,Against a large enemy,Shooting DMG output boosted by 20,"Against a large enemy, Shooting DMG output boosted by 20",2,11,G-ARMS Coins (Event)
1280,Gundam Double X,00-00-1-01,203,1,,4,3,1,10,1237,379,3312,0,379,464,208,,"While ""High Firepower""",EX Skill power boosted 30%,"While ""High Firepower"", EX Skill power boosted 30%",,,Gundam Battle Festival Gundam Double X Capsule
1281,Gundam Double X,00-00-2-01,203,2,,4,3,1,10,1734,789,1098,965,965,673,0,434,,,,,,Gundam Battle Festival Gundam Double X Capsule
1282,Gundam Double X,00-00-3-01,203,3,,4,3,1,6,965,2837,1423,553,553,0,0,,With Speed attribute (self),Melee power boosted 30%,"With Speed attribute (self), Melee power boosted 30%",,,Gundam Battle Festival Gundam Double X Capsule
1283,Gundam Double X,00-00-4-01,203,4,,4,3,1,13,965,789,720,965,965,464,673,138,,,,,,Gundam Battle Festival Gundam Double X Capsule
1284,Gundam Double X,00-00-5-01,203,5,,4,3,1,13,965,789,720,965,965,673,464,435,,,,,,Gundam Battle Festival Gundam Double X Capsule
1285,Hyper Beam Sword,00-00-6c-01,203,6,,4,3,1,6,553,3690,0,0,0,673,464,,With Speed attribute (self),Job Gauge increase boosted 17%,"With Speed attribute (self), Job Gauge increase boosted 17%",1,5,Gundam Battle Festival Gundam Double X Capsule
1286,Beam Javelin [DX],00-00-6d-01,203,6,,4,3,1,13,553,3690,0,0,0,673,464,,"While ""Gundam Type""",Initial EX Skill charge boosted 20%,"While ""Gundam Type"", Initial EX Skill charge boosted 20%",1,6,Gundam Battle Festival Gundam Double X Capsule
1287,G-Hammer [DX],00-00-6-01,203,6,,4,3,1,10,553,3690,0,0,0,673,464,,When Armor is 60% or more,Strong Melee CRIT rate boosted 30%,"When Armor is 60% or more, Strong Melee CRIT rate boosted 30%",2,7,Gundam Battle Festival Gundam Double X Capsule
1288,DX Buster Rifle,00-00-7a-01,203,7,,4,3,1,10,720,0,3690,0,0,464,284,,When attacking with Beam,Shooting DMG output boosted by 35,"When attacking with Beam, Shooting DMG output boosted by 35",1,8,Gundam Battle Festival Gundam Double X Capsule
1289,Defense Plate,00-00-8-01,203,8,,4,3,1,13,965,965,553,965,965,1082,0,,With Speed attribute (self),Enemy Shooting power reduced 30%,"With Speed attribute (self), Enemy Shooting power reduced 30%",,,Gundam Battle Festival Gundam Double X Capsule
1290,00 Raiser,00-00-1-01,204,1,,4,2,6,1,1363,972,1363,1363,555,0,680,,With Technique attribute (self),Enemy Shooting power reduced 30%,"With Technique attribute (self), Enemy Shooting power reduced 30%",,,Gundam Battle Festival 00 Raiser Capsule
1291,00 Raiser,00-00-2-01,204,2,,4,2,6,1,1745,972,972,2146,0,0,471,,In-Fighter Job,EX Skill power boosted 30%,"In-Fighter Job, EX Skill power boosted 30%",,,Gundam Battle Festival 00 Raiser Capsule
1292,00 Raiser,00-00-3-01,204,3,,4,2,6,10,0,2855,555,1363,555,286,471,,With Technique attribute (self),Melee CRIT rate boosted 30%,"With Technique attribute (self), Melee CRIT rate boosted 30%",,,Gundam Battle Festival 00 Raiser Capsule
1293,00 Raiser,00-00-4-01,204,4,,4,2,6,13,972,972,555,1363,972,286,680,292,,,,,,Gundam Battle Festival 00 Raiser Capsule
1294,00 Raiser,00-00-5-01,204,5,,4,2,6,13,1363,471,555,1363,972,471,680,436,,,,,,Gundam Battle Festival 00 Raiser Capsule
1295,GN Sword II,00-00-6-01,204,6,,4,2,6,10,1363,3713,0,0,0,286,680,,In-Fighter Job,Job Gauge increase boosted 17%,"In-Fighter Job, Job Gauge increase boosted 17%",2,4,Gundam Battle Festival 00 Raiser Capsule
1296,GN Sword III,00-00-6a-01,204,6,,4,2,6,13,1363,3713,0,0,0,286,680,437,,,,2,2,Gundam Battle Festival 00 Raiser Capsule
1297,GN Sword III Rifle Mode,00-00-7a-01,204,7,,4,2,6,10,555,154,3331,972,0,286,471,,"While ""High Firepower""",Initial EX Skill charge boosted 20%,"While ""High Firepower"", Initial EX Skill charge boosted 20%",1,8,Gundam Battle Festival 00 Raiser Capsule
1298,Abyss Gundam,00-00-1-01,205,1,,3,2,4,12,559,294,1999,559,294,129,0,,With Lance category equipped,Mid Shot Attack raised 14%,"With Lance category equipped, Mid Shot Attack raised 14%",,,Deep Coins (Event)
1299,Abyss Gundam,00-00-2-01,205,2,,3,2,4,12,893,294,294,1146,559,432,0,438,,,,,,Deep Coins (Event)
1300,Abyss Gundam,00-00-3-01,205,3,,3,2,4,12,559,1438,294,893,559,0,0,439,,,,,,Deep Coins (Event)
1301,Abyss Gundam,00-00-4-01,205,4,,3,2,4,7,559,294,559,893,294,432,303,,With Technique attribute (self),Projectile speed boosted 14%,"With Technique attribute (self), Projectile speed boosted 14%",,,Deep Coins (Event)
1302,Abyss Gundam,00-00-5-01,205,5,,3,2,4,7,559,294,294,1146,294,432,303,440,,,,,,Deep Coins (Event)
1303,Beam Lance [Abyss],00-00-6d-01,205,6,,3,2,4,12,559,1438,0,559,0,432,129,,"While ""Transformer""",Initial EX Skill charge boosted 12%,"While ""Transformer"", Initial EX Skill charge boosted 12%",1,6,Deep Coins (Event)
1304,Gundam Artemis [Satellite Cannon],00-00-5-01,206,5,,2,1,1,10,796,384,796,796,1181,611,417,441,,,,,,Friend Point Capsule & Capital Shop (Added 2020-04-22)
1305,Graze [Ground/Standard],00-00-1-01,207,1,,1,2,2,24,287,137,797,287,287,0,138,,With Technique attribute (self),Shooting power boosted 18%,"With Technique attribute (self), Shooting power boosted 18%",,,Friend Point Capsule & Capital Shop
1306,Graze [Ground/Standard],00-00-2-01,207,2,,1,2,2,24,509,137,137,372,372,0,190,,With Axe category equipped,Strong Melee power boosted 18%,"With Axe category equipped, Strong Melee power boosted 18%",,,Friend Point Capsule & Capital Shop
1307,Graze [Ground/Standard],00-00-3-01,207,3,,1,2,2,25,287,797,137,372,372,0,0,,When attacking with Physical,Melee power boosted 18%,"When attacking with Physical, Melee power boosted 18%",,,Friend Point Capsule & Capital Shop
1308,Graze [Ground/Standard],00-00-4-01,207,4,,1,2,2,25,287,137,137,372,372,138,190,,"While ""Mass P.""",EX Skill piercing boosted 16%,"While ""Mass P."", EX Skill piercing boosted 16%",,,Friend Point Capsule & Capital Shop
1309,Battle Axe [Graze],00-00-6b-01,207,6,,1,2,2,6,287,1011,0,0,0,54,190,442,,,,2,1,Friend Point Capsule & Capital Shop
1310,Rifle [Long Barrel/Graze],00-00-7b-01,207,7,,1,2,2,25,287,0,1011,0,0,54,190,,When CPWR is under 200000,EX Skill power boosted 25%,"When CPWR is under 200000, EX Skill power boosted 25%",2,10,Friend Point Capsule & Capital Shop
1311,Rifle [Short Barrel/Graze],00-00-7c-01,207,7,,1,2,2,24,287,0,1011,0,0,54,190,,When Phy. RES is under 4000,Enemy Shooting power reduced 25%,"When Phy. RES is under 4000, Enemy Shooting power reduced 25%",2,9,Friend Point Capsule & Capital Shop
1312,Gundam AGE-FX,00-00-1-01,208,1,,4,1,1,10,965,553,2922,553,553,284,284,,Middle-Shooter Job,Boost Funnel uptime by 50%,"Middle-Shooter Job, Boost Funnel uptime by 50%",,,Gundam Battle Festival Gundam AGE-FX Capsule
1313,Gundam AGE-FX,00-00-2-01,208,2,,4,1,1,10,1734,965,965,965,965,284,284,443,,,,,,Gundam Battle Festival Gundam AGE-FX Capsule
1314,Gundam AGE-FX,00-00-3-01,208,3,,4,1,1,10,965,2922,1356,553,553,0,0,444,,,,,,Gundam Battle Festival Gundam AGE-FX Capsule
1315,Gundam AGE-FX,00-00-4-01,208,4,,4,1,1,13,965,965,553,965,965,555,555,445,,,,,,Gundam Battle Festival Gundam AGE-FX Capsule
1316,Gundam AGE-FX,00-00-5-01,208,5,,4,1,1,13,965,965,553,965,965,555,555,446,,,,,,Gundam Battle Festival Gundam AGE-FX Capsule
1317,Stungle Rifle,00-00-7a-01,208,7,,4,1,1,10,553,154,3690,0,0,464,464,,When buffed,EX Skill power boosted 30%,"When buffed, EX Skill power boosted 30%",1,8,Gundam Battle Festival Gundam AGE-FX Capsule
1318,Daidal Bazooka,00-00-7d-01,208,7,,4,1,1,10,553,154,3690,0,0,464,464,,With Power attribute (self),Initial EX Skill charge boosted 20%,"With Power attribute (self), Initial EX Skill charge boosted 20%",1,12,Gundam Battle Festival Gundam AGE-FX Capsule
1319,Astray Blue Frame 2nd Revise,00-00-1-01,209,1,,4,3,3,20,1749,382,2543,795,382,211,211,78,,,,,,Gundam Battle Festival Astray Blue Frame 2nd Revise Capsule
1320,Astray Blue Frame 2nd Revise,00-00-2-01,209,2,,4,3,3,20,2150,795,726,974,974,324,324,,"While ""For Space""",Shooting power boosted 30%,"While ""For Space"", Shooting power boosted 30%",,,Gundam Battle Festival Astray Blue Frame 2nd Revise Capsule
1321,Astray Blue Frame 2nd Revise,00-00-3-01,209,3,,4,3,3,20,974,2860,556,1177,974,0,0,,With Dual Sabers category equipped,Melee power boosted 30%,"With Dual Sabers category equipped, Melee power boosted 30%",,,Gundam Battle Festival Astray Blue Frame 2nd Revise Capsule
1322,Astray Blue Frame 2nd Revise,00-00-4-01,209,4,,4,3,3,6,1366,795,726,974,974,564,564,291,,,,,,Gundam Battle Festival Astray Blue Frame 2nd Revise Capsule
1323,Astray Blue Frame 2nd Revise,00-00-5-01,209,5,,4,3,3,6,1366,382,726,1366,974,473,473,447,,,,,,Gundam Battle Festival Astray Blue Frame 2nd Revise Capsule
1324,Armor Schneider [2nd Revise],00-00-6-01,209,6,,4,3,3,6,1432,3570,0,0,0,389,389,,When in Multi-Mission Sortie,Initial EX Skill charge boosted 20%,"When in Multi-Mission Sortie, Initial EX Skill charge boosted 20%",2,4,Gundam Battle Festival Astray Blue Frame 2nd Revise Capsule
1325,Bolt Gundam,00-00-1-01,210,1,,3,1,14,11,891,292,891,891,558,127,302,3,,,,,,Iron Coins (Weekly Event)
1326,Bolt Gundam,00-00-2-01,210,2,,3,1,14,6,1435,292,292,558,558,0,430,359,,,,,,Iron Coins (Weekly Event)
1327,Bolt Gundam,00-00-3-01,210,3,,3,1,14,11,558,891,292,891,891,0,127,448,,,,,,Iron Coins (Weekly Event)
1328,Bolt Gundam,00-00-4-01,210,4,,3,1,14,6,891,292,292,1144,292,127,430,,With Power attribute (self),Melee CRIT rate boosted 17%,"With Power attribute (self), Melee CRIT rate boosted 17%",,,Iron Coins (Weekly Event)
1329,Bolt Gundam,00-00-5-01,210,5,,3,1,14,6,891,292,292,891,558,127,430,,"While ""Mobile Fighter""",Melee power boosted 25%,"While ""Mobile Fighter"", Melee power boosted 25%",,,Iron Coins (Weekly Event)
1330,Gundam AGE-2 Dark Hound,00-00-1-01,211,1,,3,3,20,6,889,291,558,889,558,126,302,,"While ""For Space""",EX Skill power boosted 25%,"While ""For Space"", EX Skill power boosted 25%",,,Arena Coins
1331,Gundam AGE-2 Dark Hound,00-00-2-01,211,2,,3,3,20,6,1433,558,291,558,558,0,428,449,,,,,,Arena Coins
1332,Gundam AGE-2 Dark Hound,00-00-3-01,211,3,,3,3,20,6,558,1991,0,889,889,0,0,450,,,,,,Arena Coins
1333,Gundam AGE-2 Dark Hound,00-00-4-01,211,4,,3,3,20,12,889,291,291,889,558,302,428,338,,,,,,Arena Coins
1334,Gundam AGE-2 Dark Hound,00-00-5-01,211,5,,3,3,20,12,889,291,291,889,558,302,428,,With Lance category equipped,Melee DMG output boosted by 20,"With Lance category equipped, Melee DMG output boosted by 20",,,Arena Coins
1335,DODS Lancer,00-00-6d-01,211,6,,3,3,20,6,889,2589,0,0,0,126,302,,"While ""For Space""",Strong Melee CRIT rate boosted 17%,"While ""For Space"", Strong Melee CRIT rate boosted 17%",1,6,Arena Coins
1336,DODS Gun,00-00-7a-01,211,7,,3,3,20,12,889,0,1699,0,0,126,428,,With Speed attribute (self),Shooting DMG output boosted by 20,"With Speed attribute (self), Shooting DMG output boosted by 20",1,8,Arena Coins
1337,Atlas Gundam,00-00-1-01,212,1,,4,1,4,16,795,382,2377,795,795,416,0,,When Armor is 80% or less,EX Skill power boosted 30%,"When Armor is 80% or less, EX Skill power boosted 30%",,,Early Summer Step-Up Capsules
1338,Atlas Gundam,00-00-2-01,212,2,,4,1,4,16,1601,382,382,1179,1179,609,0,,With Power attribute (self),EX Skill CD reduced 20%,"With Power attribute (self), EX Skill CD reduced 20%",,,Early Summer Step-Up Capsules
1339,Atlas Gundam,00-00-3-01,212,3,,4,1,4,9,795,2377,382,1179,1179,0,0,338,,,,,,Early Summer Step-Up Capsules
1340,Atlas Gundam,00-00-4-01,212,4,,4,1,4,9,795,382,382,1179,1179,609,416,451,,,,,,Early Summer Step-Up Capsules
1341,Beam Saber [Atlas],00-00-6a-01,212,6,,4,1,4,16,795,3173,0,0,0,609,211,,With Power attribute (self),Initial EX Skill charge boosted 20%,"With Power attribute (self), Initial EX Skill charge boosted 20%",1,2,Early Summer Step-Up Capsules
1342,Railgun [Atlas],00-00-7b-01,212,7,,4,1,4,16,795,0,3173,0,0,609,211,,Physical ranged weapon,reload speed boosted 20%,"Physical ranged weapon, reload speed boosted 20%",2,10,Early Summer Step-Up Capsules
1343,Assault Rifle,00-00-7c-01,212,7,,4,1,4,9,795,0,3173,0,0,609,211,,With Power attribute (self),Shooting DMG output boosted by 35,"With Power attribute (self), Shooting DMG output boosted by 35",2,9,Early Summer Step-Up Capsules
1344,Blade Shield,00-00-8-01,212,8,,4,1,4,9,795,0,0,1601,1601,805,211,452,,,,,,Early Summer Step-Up Capsules
1345,Gundam AGE-3 Fortress,00-00-1-01,213,1,,3,2,10,8,559,294,1999,559,294,129,0,,"While ""Long-Range""",Shooting DMG taken reduced by 20,"While ""Long-Range"", Shooting DMG taken reduced by 20",,,Fortress Device A (Event)
1346,Gundam AGE-3 Fortress,00-00-2-01,213,2,,3,2,10,8,893,294,294,1146,559,432,0,,Long-Shooter Job,Shooting power boosted 25%,"Long-Shooter Job, Shooting power boosted 25%",,,Fortress Device A (Event)
1347,Gundam AGE-3 Fortress,00-00-3-01,213,3,8,3,2,10,21,1146,1438,294,2305,1146,594,129,453,,,,,,Fortress Device A (Event)
1348,Gundam AGE-3 Fortress,00-00-4-01,213,4,,3,2,10,21,559,294,559,893,294,432,303,,When Shot ATK is over 16000,Projectile speed boosted 14%,"When Shot ATK is over 16000, Projectile speed boosted 14%",,,Fortress Device A (Event)
1349,Gundam AGE-3 Fortress,00-00-5-01,213,5,,3,2,10,24,559,294,294,1146,294,432,303,,When 2 enemies shot down,Vernier consumption=0 for 10 sec.,"When 2 enemies shot down, Vernier consumption=0 for 10 sec.",,,Fortress Device A (Event)
1350,Reborns Gundam,00-00-1-01,214,1,,4,1,13,10,0,378,3538,551,965,207,207,,With Power attribute (self),Boost Funnel uptime by 50%,"With Power attribute (self), Boost Funnel uptime by 50%",,,Haro Chip Capsule (Sokai Festival)
1351,Reborns Gundam,00-00-2-01,214,2,,4,1,13,6,1732,719,1422,0,1355,491,491,,Long-Shooter Job,Shooting power boosted 30%,"Long-Shooter Job, Shooting power boosted 30%",,,Haro Chip Capsule (Sokai Festival)
1352,Reborns Gundam,00-00-3-01,214,3,,4,1,13,6,1885,719,1165,551,965,318,318,454,,,,,,Haro Chip Capsule (Sokai Festival)
1353,Reborns Gundam,00-00-4-01,214,4,,4,1,13,10,965,551,965,965,1355,464,464,455,,,,,,Haro Chip Capsule (Sokai Festival)
1354,Reborns Gundam,00-00-5-01,214,5,,4,1,13,12,378,551,965,965,1732,554,554,456,,,,,,Haro Chip Capsule (Sokai Festival)
1355,Large GN Beam Saber,00-00-6c-01,214,6,,4,1,13,6,1355,2521,0,0,0,554,554,,Before 15s pass,EX Skill power boosted 30%,"Before 15s pass, EX Skill power boosted 30%",1,5,Haro Chip Capsule (Sokai Festival)
1356,GN Buster Rifle,00-00-7a-01,214,7,,4,1,13,10,551,0,3952,0,965,382,382,,When buffed,Reduce Cooldown by 50% once.,"When buffed, Reduce Cooldown by 50% once.",1,8,Haro Chip Capsule (Sokai Festival)
1357,GN Shield [Reborns],00-00-8-01,214,8,,4,1,13,12,551,0,1165,551,1732,464,464,457,,,,,,Haro Chip Capsule (Sokai Festival)
1358,V2 Gundam,00-00-1-01,215,1,,4,3,13,9,965,720,2754,553,553,464,284,3,,,,,,Haro Chip Capsule (Sokai Festival)
1359,V2 Gundam,00-00-2-01,215,2,,4,3,13,9,1734,1098,789,965,965,673,0,,With Rifle category equipped,Buff EX Skill effect up 22%,"With Rifle category equipped, Buff EX Skill effect up 22%",,,Haro Chip Capsule (Sokai Festival)
1360,V2 Gundam,00-00-3-01,215,3,8,4,3,13,9,1887,4177,1586,1508,1508,1082,0,242,,,,,,Haro Chip Capsule (Sokai Festival)
1361,V2 Gundam,00-00-4-01,215,4,,4,3,13,1,965,1098,379,965,965,464,673,,"While ""Protag.""",Enemy Melee power reduced 30%,"While ""Protag."", Enemy Melee power reduced 30%",,,Haro Chip Capsule (Sokai Festival)
1362,V2 Gundam,00-00-5-01,215,5,,4,3,13,1,965,1098,379,965,965,673,464,458,,,,,,Haro Chip Capsule (Sokai Festival)
1363,Beam Rifle [V2],00-00-7a-01,215,7,,4,3,13,1,720,154,3543,0,0,464,284,,With Speed attribute (self),EX Skill power boosted 30%,"With Speed attribute (self), EX Skill power boosted 30%",1,8,Haro Chip Capsule (Sokai Festival)
